MINISTRY,DEPARTMENT,PRIORITY VACANT POSTS,POST NUMBER,SALARY SCALE,ANNUAL SALARY,RECRUITMENT STATUS,,,,,,,,,,Status 
MOET,ESD,Senior Provincial Advisor ,54003429,PS 5.1 ,1513100,Vacant ,,,,,,,,,,
MOET,ESD,Provincial Primary Advisor ,54003435,PS 5.1 ,1513100,Vacant ,,,,,,,,,,
MOET,ESD,Deputy PEO ,54003381,PS 6.1 ,1906500,Vacant ,,,,,,,,,,
MOET,ESD,Provincial Primary Advisor ,54003436,PS 5.1 ,1513100,Vacant ,,,,,,,,,,
MOET,ESD,Provincial Secondary Advisor ,54003441,PS 5.1 ,1513100,Vacant ,,,,,,,,,,
MOIA,Corporate Service Unit ,Human Resource Officer ,577,PSS 5.1,1989000,Unknown Status,,,,,,,,,,
MOIA,Corporate Service Unit ,M&E Officer,580,PSS 5.1,1989000,Unknown Status,,,,,,,,,,
MOLNR ,Water ,CDO Sanma,5339,PSO 4.1,1321000,Occupied (Acting),,,,,,,,,,
MOLNR ,Water ,CDO Torba,,PSO 4.1,1321000,Recruitment Process,,,,,,,,,,
MOLNR ,Water ,Urban Water Technician-Penama,5355,PSS 3.1,1209000,Filled,,,,,,,,,,
MOLNR ,Water ,Urban Water Technician-Penama,5356,PSS 3.1,1209000,Filled,,,,,,,,,,
MOLNR ,Water ,Receptionist ,5363,PSS 1.5,827000,Vacant ,,,,,,,,,,
MOLNR ,Lands,Senior Planning & Enforcement ,5110,PSS 5.1,1989000,Vacant ,,,,,,,,,,
MOLNR ,Lands,Lands Officer Planning Santo,5113,PSS 4.1,1400000,Filled (Internship),,,,,,,,,,
MOLNR ,Lands,Revenue Collection Officer ,5111,PSS 4.1,1400000,Occupied (Acting),,,,,,,,,,
MOLNR ,Lands,Surveyor Cadaster ,5116,PSS 4.1,1400000,Occupied (Contract),,,,,,,,,,
MOLNR ,Lands,Finance Officer ,5010,PSS 4.1,1400000,Recruitment Process,,,,,,,,,,
MOLNR ,Lands,Senior Valuation & Lease ,6002,PST 3.1,2510000,Recruitment Process,,,,,,,,,,
MOLNR ,Lands,Research Officer,6005,PSO 3.1,1193000,Awaits Commission Decision ,,,,,,,,,,
MPM,,Executive Secretary to Director,52000059,PST 4.1,3167000,Unknown Status,,,,,,,,,,
MPM,,Communication and Public Relations ,52010055,PS 9.1,3408000,Unknown Status,,,,,,,,,,
OPSC,CSU,Finance and Administration Officer,568,PSS 5.1,1989000,Occupied (Contract),,,,,,,,,,
OPSC,HRM,Senior Perfornmance Officer ,456,PSS 5.5,2250000,Vacant ,,,,,,,,,,
